Producto - Descripción,Cliente - Descripción,Fecha,Pedido_piezas,Pedido_MXN,Factura_piezas,Factura_MXN
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/01/2019,72960,1969920,72960,1969920
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/01/2020,169920,5437440,169920,5437440
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/01/2021,202560,6887040,202560,6887040
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/01/2022,391680,14241485,377280,13717901
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/01/2023,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/01/2024,466710,15022410,466710,15022410
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/01/2025,381605,12974560,381600,12974400
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/02/2019,280800,7581600,280800,7581600
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/02/2020,1740960,48206592,442560,12037632
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/02/2021,437280,14867520,74400,2529600
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/02/2022,446400,17856000,310080,12403200
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/02/2023,136320,5112000,136320,5112000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/02/2024,130575,4047825,126450,3919950
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/02/2025,264000,8976000,264000,8976000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/03/2019,93120,2514240,58560,1581120
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/03/2020,120480,4578240,120480,4578240
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/03/2021,254880,8665920,254880,8665920
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/03/2022,417120,16684800,276480,11059200
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/03/2023,114240,4186800,114240,4186800
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/03/2024,261630,10270380,480,14880
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/03/2025,359520,12223680,359520,12223680
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/04/2019,70560,2257920,70560,2257920
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/04/2020,547680,20019840,396000,14559360
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/04/2021,36000,1260000,36000,1260000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/04/2022,214080,8985946,213120,8951040
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/04/2023,33120,1242000,33120,1242000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/04/2024,615210,23656035,48000,1488000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/04/2025,270720,9204480,130560,4439040
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/05/2019,168000,5376000,168000,5376000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/05/2020,172320,5858880,172320,5858880
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/05/2021,51360,1797600,51360,1797600
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/05/2022,138240,5806080,78720,3306240
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/05/2023,0,0,0,0
