Producto - Descripción,Cliente - Descripción,Fecha,Pedido_piezas,Pedido_MXN,Factura_piezas,Factura_MXN
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/01/2019,1104995,28844627,871680,23022029
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/01/2020,1608000,48811176,1465240,44377256
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/01/2021,1580160,50192669,1497600,47283197
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/01/2022,1495680,55219807,1435680,53075820
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/01/2023,587795,22574672,553700,21279221
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/01/2024,2096710,71124788,1548530,49184653
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/01/2025,1395585,47732730,1387365,47437335
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/02/2019,998400,26262696,905280,23748456
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/02/2020,3522720,99737358,1822840,51465298
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/02/2021,1901820,55259274,1384675,38078729
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/02/2022,1933505,72805680,1581185,59480496
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/02/2023,491215,18747620,490695,18733383
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/02/2024,1583130,49297710,966000,30054030
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/02/2025,1123805,38315756,1100000,37509715
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/03/2019,633850,16118718,271530,6990444
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/03/2020,2713560,91023888,1260000,47047632
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/03/2021,387360,13076659,348000,11738419
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/03/2022,1387690,52993732,803995,30429766
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/03/2023,894240,33505200,843840,31590000
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/03/2024,1583485,52463139,570835,17965209
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/03/2025,2156750,69401581,2013585,64490452
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/04/2019,1165220,32600320,1163420,32551360
ANALGESICO + ANTIPERETICO TABLETAS 1,Total Descripción,01/04/2020,2631360,84963071,2460000,78775871
