Producto - Descripción,Cliente - Descripción,Fecha,Pedido_piezas,Pedido_MXN,Factura_piezas,Factura_MXN
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/10/2025,318296,9003103,293205,8792440
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/11/2025,285686,8065496,291479,8489832
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/12/2025,265576,7406776,288735,8287330
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/01/2026,257531,7137657,290772,8143260
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/02/2026,250697,7092823,285895,8007661
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/03/2026,253435,7298479,285267,7908286
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/04/2026,258631,7597394,281301,7814888
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/05/2026,269442,7959994,285142,7760642
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/06/2026,277140,8230932,277688,7677956
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/07/2026,289576,8491743,278799,7634612
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/08/2026,292671,8563617,275114,7582063
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/09/2026,290118,8513414,264620,7513281
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/10/2026,292390,8491638,265028,7490584
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/11/2026,290276,8425133,263185,7468687
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/12/2026,287788,8353813,261502,7451417
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/01/2027,285236,8293419,259912,7437514
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/02/2027,283028,8251569,258246,7426218
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/03/2027,281615,8230429,256743,7417083
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/04/2027,280958,8226560,255248,7409650
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/05/2027,281009,8234738,253881,7403641
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/06/2027,281472,8248714,252360,7398704
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/07/2027,282205,8263948,251084,7394786
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/08/2027,282833,8276331,249744,7391594
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/09/2027,283396,8285034,248512,7389058
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/10/2025,120970,3694051,88381,2652248
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/11/2025,132668,3831326,96215,3022757
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/12/2025,137819,3747564,100695,3297490
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/01/2026,140043,3721798,104251,3470190
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/02/2026,141005,3727771,105279,3572066
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/03/2026,140197,3716515,105890,3607816
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/04/2026,139985,4074815,104855,3630261
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/05/2026,137567,4256923,104400,3607580
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/06/2026,136703,4668062,103082,3608184
