Producto - Descripción,Cliente - Descripción,Fecha,Pedido_piezas,Pedido_MXN,Factura_piezas,Factura_MXN
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/10/2025,439242,16391015,363941,12333605
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/11/2025,352733,10327188,277924,9507128
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/12/2025,318878,9261545,226873,7876823
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/01/2026,397975,12087370,386822,13164790
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/02/2026,520649,14323687,312984,10804539
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/03/2026,378302,11933700,290194,10310231
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/04/2026,398510,12874061,215023,7851328
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/05/2026,409431,12581992,347698,11769520
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/06/2026,325676,9495727,283887,9729624
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/07/2026,399506,12582785,331024,11672475
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/08/2026,434347,13642023,424763,14484758
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/09/2026,418630,12553511,371109,12749275
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/10/2026,474555,14926930,398320,13560172
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/11/2026,388687,10999994,312303,10733695
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/12/2026,355361,9999849,261252,9103390
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/01/2027,434894,12870124,421201,14391357
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/02/2027,557928,15136607,347363,12031106
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/03/2027,415877,12767092,324573,11536798
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/04/2027,436329,13721346,249402,9077895
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/05/2027,447453,13438705,382077,12996087
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/06/2027,363863,10358838,318266,10956191
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/07/2027,437830,13450239,365403,12899042
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/08/2027,472784,14512423,459142,15711325
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/09/2027,457161,13425911,405488,13975842
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/10/2025,0,98367,126482,4205475
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/11/2025,262912,8639219,241081,7743809
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/12/2025,159928,4979275,199232,6795438
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/01/2026,91416,3309748,208362,7230561
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/02/2026,123758,4099369,135513,4558712
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/03/2026,221493,7636462,161073,5762569
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/04/2026,280090,11237366,198339,6668394
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/05/2026,54937,1643741,136372,4614176
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/06/2026,8376,58352,110465,3871879
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/07/2026,67317,2377907,147452,5327058
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/08/2026,141240,4897491,144011,5055086
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/09/2026,88569,2882320,130984,4386364
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/10/2026,116335,3873632,144203,4838925
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/11/2026,200774,6390597,258802,8377258
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/12/2026,211993,7421636,216953,7428887
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/01/2027,142676,5014027,226083,7864011
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/02/2027,105329,3474413,153235,5192161
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/03/2027,227110,7882493,178794,6396019
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/04/2027,208937,7584213,216060,7301843
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/05/2027,101861,3619136,154093,5247625
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/06/2027,82121,3120821,128186,4505328
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/07/2027,116314,4284530,165173,5960508
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/08/2027,89097,2772367,161732,5688535
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/09/2027,79390,2576735,148705,5019813
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/10/2025,257282,8219424,171315,5845172
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/11/2025,296221,9548896,231327,7403690
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/12/2025,116288,3741994,102488,3261545
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/01/2026,281273,9465230,186109,5672353
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/02/2026,290545,9113782,176370,5351004
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/03/2026,194435,6177540,74653,2710512
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/04/2026,160038,5298327,147040,4922626
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/05/2026,128469,3647077,100522,2652857
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/06/2026,320860,10528865,248977,8989803
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/07/2026,340550,11702508,278637,9446048
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/08/2026,250167,8238311,242322,8281883
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/09/2026,91825,2780219,73747,2348197
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/10/2026,257282,8219424,170867,5976052
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/11/2026,296221,9548896,230139,7818780
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/12/2026,116288,3741994,102640,3209010
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/01/2027,281273,9465230,186715,5472956
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/02/2027,290545,9113782,175942,5534951
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/03/2027,194435,6177540,74714,2681393
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/04/2027,160038,5298327,146843,4998682
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/05/2027,128469,3647077,100268,2776985
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/06/2027,320860,10528865,248980,8968417
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/07/2027,340550,11702508,278735,9410789
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/08/2027,250167,8238311,241928,8426283
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/09/2027,91825,2780219,74008,2257281
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/10/2025,43536,4923401,142692,4747940
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/11/2025,216081,5096658,217097,5364303
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/12/2025,78125,2809690,77896,2840531
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/01/2026,52209,1202685,52512,1296511
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/02/2026,89823,3116695,89059,2974123
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/03/2026,293812,5699340,296612,6333676
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/04/2026,162673,6110812,151819,5602605
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/05/2026,14123,341519,1129,46749
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/06/2026,247229,5277703,249228,5802487
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/07/2026,28551,1182602,28000,1159821
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/08/2026,86487,3000693,36502,1215523
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/09/2026,149277,2820863,13655,403851
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/10/2026,111828,4923401,138119,4747940
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/11/2026,216081,5096658,217097,5364303
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/12/2026,78125,2809690,77896,2840531
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/01/2027,52209,1202685,52512,1296511
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/02/2027,89823,3116695,89059,2974123
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/03/2027,293812,5699340,296612,6333676
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/04/2027,162673,6110812,151819,5602605
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/05/2027,14123,341519,1129,46749
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/06/2027,247229,5277703,249228,5802487
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/07/2027,28551,1182602,28000,1159821
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/08/2027,86487,3000693,36502,1215523
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/09/2027,149277,2820863,13655,403851
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 5,01/10/2025,165937,5217642,191670,5881843
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 5,01/11/2025,85089,2950599,84617,2501289
