Producto - Descripción,Cliente - Descripción,Fecha,Pedido_piezas,Pedido_MXN,Factura_piezas,Factura_MXN
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/10/2025,399058,14102475,317246,12232012
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/11/2025,402069,13703302,312807,9401605
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/12/2025,310170,11146162,205485,7256338
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/01/2026,332466,11727775,310695,11980060
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/02/2026,827727,26331766,362882,11022300
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/03/2026,368516,13395296,314053,10151552
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/04/2026,348464,12959577,290191,9488953
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/05/2026,234052,8365992,199577,9479126
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/06/2026,270715,9417783,252750,8818840
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/07/2026,321276,11747755,292351,10709490
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/08/2026,312594,11327156,291883,11611531
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/09/2026,454806,16234586,383851,11304899
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/10/2026,429750,15282221,342596,13219614
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/11/2026,432761,14883048,338157,10389208
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/12/2026,340862,12325908,230835,8243941
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/01/2027,363159,12907521,336045,12967662
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/02/2027,858420,27511512,388233,12009903
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/03/2027,399209,14575042,339403,11139155
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/04/2027,379157,14139323,315541,10476555
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/05/2027,264744,9545738,224927,10466729
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/06/2027,301407,10597529,278100,9806442
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/07/2027,351968,12927501,317701,11697092
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/08/2027,343286,12506902,317233,12599133
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/09/2027,485498,17414332,409201,12292502
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/10/2025,125512,4076279,75478,2747201
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/11/2025,258659,8036558,245317,7284403
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/12/2025,182782,6223154,168362,6508013
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/01/2026,241268,8545477,227558,7268776
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/02/2026,123426,4116170,63407,3488822
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/03/2026,331823,12169723,176552,5850240
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/04/2026,190587,6089143,174922,6331749
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/05/2026,107266,3454970,92724,3217489
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/06/2026,64126,2237997,49130,2540246
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/07/2026,128242,4970009,113212,4184298
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/08/2026,198494,7064521,183714,5789691
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/09/2026,129121,4279538,113481,3493727
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/10/2026,139743,4586900,86730,3192713
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/11/2026,272891,8547179,256569,7729915
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/12/2026,197014,6733775,179613,6953524
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/01/2027,255500,9056099,238810,7714287
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/02/2027,137658,4626791,74659,3934333
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/03/2027,346054,12680345,187804,6295751
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/04/2027,204818,6599765,186173,6777260
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/05/2027,121497,3965592,103976,3663000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/06/2027,78358,2748619,60382,2985758
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/07/2027,142474,5480631,124464,4629809
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/08/2027,212725,7575143,194966,6235202
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/09/2027,143353,4790160,124733,3939238
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/10/2025,240437,8429153,111522,4272112
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/11/2025,311018,10491109,183388,6229044
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/12/2025,144563,4857944,122697,4030396
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/01/2026,348662,11118948,318454,10315587
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/02/2026,273920,8800161,178757,5782191
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/03/2026,278856,8906411,48841,2301237
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/04/2026,161079,5845834,135502,5002615
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/05/2026,141928,3696870,117388,2836016
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/06/2026,378221,13372568,290087,10228146
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/07/2026,521130,18716448,448939,16115039
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/08/2026,275710,9797891,251514,9070010
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/09/2026,109484,3486656,44936,1532278
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/10/2026,252838,9019595,118442,4704146
